Case1,Case1,Case2,Case2,Case3,Case3,Case4,Case4,Case5,Case5,Case6,Case6,Case7
0.01969,0.0474,0.051969165,0.005409325,0.06452,0.05865,0.05348,0.01656,0.01956,0.01148,0.02991,0.01086,0.0077
0.02061,0.05065,0.091478409,0.017580544,0.06904,0.063,0.07359,0.02652,0.03819,0.02447,0.04393,0.01786,0.00871
0.02843,0.07933,0.173721251,0.062063614,0.10008,0.09311,0.07867,0.02926,0.06649,0.04582,0.08784,0.04371,0.01898
0.03271,0.0953,0.176844732,0.064192019,0.11186,0.10463,0.16547,0.08683,0.08975,0.06436,0.09628,0.04921,0.02665
0.04257,0.13174,0.233261842,0.107257698,0.11186,0.10463,0.19345,0.10891,0.10851,0.07981,0.09628,0.04921,0.03633
0.04984,0.15795,0.294975557,0.162935954,0.118,0.11065,0.21086,0.12337,0.12568,0.09427,0.09628,0.04921,0.04728
0.05244,0.16709,0.34849469,0.216912445,0.13079,0.12321,0.23293,0.14242,0.13157,0.0993,0.10978,0.05828,0.0482
0.05602,0.17957,0.42701488,0.303137939,0.15112,0.14326,0.23637,0.14546,0.17105,0.13373,0.15307,0.08944,0.055
0.06169,0.19882,0.446605853,0.325629208,0.16539,0.15736,0.2528,0.16022,0.18339,0.14472,0.15307,0.08944,0.07159
0.07845,0.25246,0.466505864,0.348779847,0.16539,0.15736,0.25934,0.1662,0.19137,0.15189,0.2281,0.14945,0.07279
0.10798,0.33537,0.470810517,0.353823615,0.17271,0.16462,0.28783,0.19298,0.19621,0.15627,0.25755,0.17471,0.08156
0.14544,0.42231,0.491155062,0.377813338,0.21106,0.20265,0.29706,0.2019,0.22158,0.1794,0.25755,0.17471,0.09231
0.15322,0.43822,0.492492024,0.379397935,0.21106,0.20265,0.32036,0.22487,0.27072,0.22524,0.26758,0.1835,0.12905
0.17588,0.48099,0.511755867,0.402325862,0.21902,0.21056,0.33175,0.23633,0.29278,0.24621,0.26758,0.1835,0.13072
0.18595,0.49843,0.533909884,0.428880878,0.29358,0.28469,0.3444,0.24924,0.31721,0.26969,0.27431,0.18946,0.1358
0.19105,0.50695,0.541059784,0.437485042,0.31056,0.30157,0.35395,0.25911,0.32358,0.27586,0.30498,0.21711,0.14271
0.21016,0.53696,0.558229626,0.458198294,0.3361,0.32694,0.38733,0.29436,0.32537,0.2776,0.30498,0.21711,0.15338
0.22618,0.56006,0.572514014,0.475471261,0.3446,0.33539,0.39785,0.30569,0.32776,0.27992,0.33262,0.24272,0.15702
0.29453,0.64166,0.579711097,0.484183242,0.44421,0.43399,0.40161,0.30977,0.35365,0.30519,0.35695,0.26577,0.16815
0.31527,0.66201,0.615298511,0.527282516,0.4679,0.45734,0.41074,0.31972,0.35464,0.30616,0.3917,0.29945,0.19933
0.35863,0.69946,0.629048446,0.543914765,0.50587,0.49464,0.41239,0.32153,0.36774,0.31906,0.41243,0.31996,0.20337
0.45195,0.76232,0.652544381,0.57226293,0.53472,0.5229,0.42222,0.33236,0.38296,0.33411,0.41243,0.31996,0.20743
0.48145,0.77845,0.659511494,0.580644463,0.54861,0.53646,0.44709,0.36012,0.41963,0.37074,0.42274,0.33027,0.21153
0.59946,0.8313,0.666489418,0.58902532,0.54861,0.53646,0.55046,0.48042,0.42579,0.37694,0.42274,0.33027,0.22816
0.61449,0.83706,0.70358874,0.633299944,0.54861,0.53646,0.56185,0.49408,0.43077,0.38196,0.43981,0.3475,0.23238
0.62639,0.84152,0.705528458,0.635599576,0.69882,0.68156,0.58067,0.51678,0.43725,0.38851,0.44998,0.35785,0.26468
0.66821,0.85656,0.708026446,0.638558575,0.69882,0.68156,0.60318,0.54413,0.44295,0.39427,0.46008,0.3682,0.27126
0.70829,0.87037,0.745481726,0.682561076,0.75775,0.73749,0.63311,0.58076,0.47022,0.42202,0.46008,0.3682,0.27126
0.87148,0.92939,0.756326799,0.695164217,0.76675,0.74597,0.63918,0.58822,0.487,0.4392,0.47011,0.37854,0.28008
0.92086,0.95269,0.820747605,0.768768892,0.77517,0.75389,0.65631,0.60929,0.48736,0.43957,0.49973,0.40944,0.28451
0.96663,0.97934,0.83288476,0.782467753,0.78801,0.76595,0.68168,0.64055,0.51815,0.47131,0.51583,0.42647,0.28451
,,0.904395416,0.866562019,0.801636989,0.77870456,0.697884386,0.660499845,0.547915342,0.502250841,0.52537,0.43662,0.288952519
,,0.934393834,0.909712763,0.801636989,0.77870456,0.698244136,0.660942424,0.589191153,0.545539401,0.52537,0.43662,0.297870965
,,0.943034363,0.923444762,0.81165038,0.788057735,0.698423728,0.661163358,0.630866399,0.589670157,0.5348,0.44671,0.297870965
,,0.94937959,0.933632525,0.863745201,0.836682791,0.702327559,0.665964319,0.652058652,0.612263671,0.5348,0.44671,0.302344897
,,0.956833564,0.945486369,0.881588235,0.853954093,0.710705389,0.676255904,0.65914725,0.619842866,0.55334,0.46671,0.311318027
,,0.990447895,0.991910422,0.886916374,0.859520131,0.72978209,0.699606145,0.662825481,0.623779889,0.55639,0.47001,0.327085061
,,,,0.908792611,0.889166659,0.768386057,0.746215764,0.706574021,0.670818539,0.57736,0.4929,0.329342544
,,,,0.93082675,0.921047943,0.788127135,0.76948884,0.715964876,0.680964177,0.60338,0.52161,0.333860309
,,,,0.973614497,0.975997773,0.789335897,0.770896487,0.730110441,0.696276974,0.60338,0.52161,0.336120398
,,,,0.990200754,0.992961139,0.789678279,0.771294793,0.777760289,0.748103365,0.60338,0.52161,0.338381162
,,,,,,0.801774407,0.785241461,0.790676255,0.762208794,0.63365,0.55549,0.340642505
,,,,,,0.837375109,0.824491564,0.808336988,0.781528713,0.63365,0.55549,0.349691772
,,,,,,0.854830538,0.842526796,0.808978375,0.782230996,0.64944,0.57335,0.349691772
,,,,,,0.86560919,0.853273115,0.846396296,0.823259537,0.69137,0.62138,0.356480195
,,,,,,0.884229176,0.871368498,0.846396296,0.823259537,0.72279,0.65796,0.36100513
,,,,,,0.898670353,0.885279812,0.850188665,0.827422244,0.74555,0.68476,0.370050129
,,,,,,0.927797646,0.913943175,0.864671469,0.843321396,0.75147,0.69177,0.388101104
,,,,,,0.928343858,0.914494464,0.86629357,0.845102102,0.75147,0.69177,0.392601772
,,,,,,0.951069205,0.938086764,0.868857333,0.847916442,0.76668,0.70986,0.394849844
,,,,,,0.962253784,0.950302096,0.876040554,0.855800638,0.79298,0.7414,0.401584058
,,,,,,0.978994201,0.969762048,0.882625505,0.863025983,0.79298,0.7414,0.401584058
,,,,,,0.981395707,0.972722036,0.89425472,0.875778083,0.80587,0.75699,0.410536771
,,,,,,,,0.946425747,0.932873036,0.83891,0.7973,0.42389984
,,,,,,,,0.96085212,0.948908258,0.84409,0.80366,0.426118387
,,,,,,,,0.966105227,0.954877856,0.84536,0.80522,0.445957791
,,,,,,,,0.972918672,0.962795146,0.8491,0.80984,0.445957791
,,,,,,,,0.990911764,0.985433149,0.85633,0.81877,0.450332492
,,,,,,,,,,0.85982,0.82309,0.4676918
,,,,,,,,,,0.8781,0.84579,0.484806094
,,,,,,,,,,0.88587,0.8555,0.505814098
,,,,,,,,,,0.89661,0.86896,0.518196005
,,,,,,,,,,0.89661,0.86896,0.532416145
,,,,,,,,,,0.89746,0.87003,0.558142079
,,,,,,,,,,0.90078,0.87421,0.595866938
,,,,,,,,,,0.91159,0.88784,0.599510437
,,,,,,,,,,0.91857,0.89669,0.613843791
,,,,,,,,,,0.925,0.90484,0.624338706
,,,,,,,,,,0.94932,0.9359,0.624338706
,,,,,,,,,,0.97194,0.96503,0.636303799
,,,,,,,,,,0.98684,0.98423,0.641339276
,,,,,,,,,,0.99546,0.99509,0.657722409
,,,,,,,,,,,,0.659326698
,,,,,,,,,,,,0.682650201
,,,,,,,,,,,,0.691592508
,,,,,,,,,,,,0.700315553
,,,,,,,,,,,,0.706009957
,,,,,,,,,,,,0.714371604
,,,,,,,,,,,,0.722519303
,,,,,,,,,,,,0.730455533
,,,,,,,,,,,,0.733054411
,,,,,,,,,,,,0.736909465
,,,,,,,,,,,,0.745704612
,,,,,,,,,,,,0.754223777
,,,,,,,,,,,,0.760142781
,,,,,,,,,,,,0.771574182
,,,,,,,,,,,,0.790830525
,,,,,,,,,,,,0.79688616
,,,,,,,,,,,,0.814924905
,,,,,,,,,,,,0.828006108
,,,,,,,,,,,,0.831330275
,,,,,,,,,,,,0.836191421
,,,,,,,,,,,,0.837779014
,,,,,,,,,,,,0.84013015
,,,,,,,,,,,,0.863727765
,,,,,,,,,,,,0.867600009
,,,,,,,,,,,,0.902113167
,,,,,,,,,,,,0.904788855
,,,,,,,,,,,,0.943090694
,,,,,,,,,,,,0.96156151
,,,,,,,,,,,,0.969094793
,,,,,,,,,,,,0.981014669
,,,,,,,,,,,,0.985194593
